File,Size,Kya Hai,
[package.json](sandbox:///mnt/agents/output/aravi-ai-studio/frontend/package.json),—,Dependencies (React, Vite, Axios, Lucide),
[vite.config.js](sandbox:///mnt/agents/output/aravi-ai-studio/frontend/vite.config.js),—,Build config + API proxy,
[index.html](sandbox:///mnt/agents/output/aravi-ai-studio/frontend/index.html),—,Entry HTML,
[src/main.jsx](sandbox:///mnt/agents/output/aravi-ai-studio/frontend/src/main.jsx),—,React root,
[src/App.jsx](sandbox:///mnt/agents/output/aravi-ai-studio/frontend/src/App.jsx),—,Routes (Login → Dashboard),
[src/index.css](sandbox:///mnt/agents/output/aravi-ai-studio/frontend/src/index.css),—,Global styles + animations,
[src/api.js](sandbox:///mnt/agents/output/aravi-ai-studio/frontend/src/api.js),—,API service (auth, photos, credits),
[src/components/Layout.jsx](sandbox:///mnt/agents/output/aravi-ai-studio/frontend/src/components/Layout.jsx),—,Sidebar + Navigation,
[src/pages/Login.jsx](sandbox:///mnt/agents/output/aravi-ai-studio/frontend/src/pages/Login.jsx),—,Login page with API,
[src/pages/Register.jsx](sandbox:///mnt/agents/output/aravi-ai-studio/frontend/src/pages/Register.jsx),—,Registration page,
[src/pages/Dashboard.jsx](sandbox:///mnt/agents/output/aravi-ai-studio/frontend/src/pages/Dashboard.jsx),15 KB,MAIN PAGE — Upload, AI generate, Gallery,
[src/pages/Catalogue.jsx](sandbox:///mnt/agents/output/aravi-ai-studio/frontend/src/pages/Catalogue.jsx),—,Catalogue page,
[src/pages/Templates.jsx](sandbox:///mnt/agents/output/aravi-ai-studio/frontend/src/pages/Templates.jsx),—,Templates page,
[src/pages/Settings.jsx](sandbox:///mnt/agents/output/aravi-ai-studio/frontend/src/pages/Settings.jsx),—,Settings page,
[Dockerfile](sandbox:///mnt/agents/output/aravi-ai-studio/frontend/Dockerfile),—,Docker build,
[nginx.conf](sandbox:///mnt/agents/output/aravi-ai-studio/frontend/nginx.conf),—,Nginx config,

Generated by Kimi AI
